code,name,date,open,high,low,close,volume,amount
601857,中国石油,2024-07-11,9.5374008,9.64797936,9.445252,9.63876448,139759018,1450536534.52
601857,中国石油,2024-07-12,9.61111984,9.74934304,9.46368176,9.51897104,135935064,1412404283.51
601857,中国石油,2024-07-15,9.43603712,9.675624,9.34388832,9.64797936,153414521,1594666895.51
601857,中国石油,2024-07-16,9.62033472,9.73091328,9.54661568,9.68483888,111483575,1168563676.93
601857,中国石油,2024-07-17,9.63876448,9.675624,9.2609544,9.29781392,213949950,2184469848.35
601857,中国石油,2024-07-18,9.32545856,9.41760736,9.22409488,9.3991776,148627246,1506784061.46
601857,中国石油,2024-07-19,9.3070288,9.31624368,9.10430144,9.18723536,187645919,1868948688.22
601857,中国石油,2024-07-22,9.08587168,9.08587168,8.73570624,8.87392944,257641429,2478545193.31
601857,中国石油,2024-07-23,8.82785504,8.87392944,8.754136,8.76335088,144474635,1380092475.29
601857,中国石油,2024-07-24,8.754136,8.88314432,8.68041696,8.80942528,171839606,1636607951.08
601857,中国石油,2024-07-25,8.8002104,8.8002104,8.41318544,8.44083008,226172007,2089178543.67
601857,中国石油,2024-07-26,8.41318544,8.49611936,8.31182176,8.3855408,165972643,1509720704.55
601857,中国石油,2024-07-29,8.32103664,8.44083008,8.2473176,8.42240032,130956211,1187012036.1
601857,中国石油,2024-07-30,8.34868128,8.34868128,8.09066464,8.09066464,218352403,1936105493.61
601857,中国石油,2024-07-31,8.06302,8.28417712,8.05380512,8.26574736,200930536,1786098511.07
601857,中国石油,2024-08-01,8.35789616,8.45004496,8.2473176,8.32103664,160074494,1449132223.41
601857,中国石油,2024-08-02,8.17359856,8.21045808,8.09066464,8.16438368,134672028,1191228816.01
601857,中国石油,2024-08-05,7.9708712,8.06302,7.73128432,7.75892896,293326777,2506938475.88
601857,中国石油,2024-08-06,7.81421824,7.89715216,7.75892896,7.82343312,135830397,1152287287.97
601857,中国石油,2024-08-07,7.77735872,8.03537536,7.72206944,7.91558192,157756843,1357786434.45
601857,中国石油,2024-08-08,7.9708712,8.03537536,7.86950752,7.8787224,99250002,854385928.21
