date,stock_name,close
2022-10-31,上证综指,2893.4829
2022-11-01,上证综指,2969.1995
2022-11-02,上证综指,3003.3699
2022-11-03,上证综指,2997.8057
2022-11-04,上证综指,3070.7964
2022-11-07,上证综指,3077.817
2022-11-08,上证综指,3064.4928
2022-11-09,上证综指,3048.1676
2022-11-10,上证综指,3036.1318
2022-11-11,上证综指,3087.2926
2022-11-14,上证综指,3083.4013
2022-11-15,上证综指,3134.0778
2022-11-16,上证综指,3119.9804
2022-11-17,上证综指,3115.4347
2022-11-18,上证综指,3097.2432
2022-11-21,上证综指,3085.0444
2022-11-22,上证综指,3088.9426
2022-11-23,上证综指,3096.9073
2022-11-24,上证综指,3089.3096
2022-11-25,上证综指,3101.6932
2022-11-28,上证综指,3078.5485
2022-11-29,上证综指,3149.7478
2022-11-30,上证综指,3151.3353
2022-12-01,上证综指,3165.4711
2022-12-02,上证综指,3156.1442
2022-12-05,上证综指,3211.8144
2022-12-06,上证综指,3212.5334
2022-12-07,上证综指,3199.6194
2022-12-08,上证综指,3197.3499
2022-12-09,上证综指,3206.9502
2022-12-12,上证综指,3179.0417
2022-12-13,上证综指,3176.3255
2022-12-14,上证综指,3176.5253
2022-12-15,上证综指,3168.6478
2022-12-16,上证综指,3167.8576
2022-12-19,上证综指,3107.115
2022-12-20,上证综指,3073.7659
2022-12-21,上证综指,3068.4105
2022-12-22,上证综指,3054.4313
2022-12-23,上证综指,3045.8664
2022-12-26,上证综指,3065.5626
2022-12-27,上证综指,3095.5678
2022-12-28,上证综指,3087.3997
2022-12-29,上证综指,3073.7016
2022-12-30,上证综指,3089.2579
2023-01-03,上证综指,3116.5119
2023-01-04,上证综指,3123.5164
2023-01-05,上证综指,3155.2162
2023-01-06,上证综指,3157.6365
2023-01-09,上证综指,3176.0845
2023-01-10,上证综指,3169.5072
2023-01-11,上证综指,3161.8376
2023-01-12,上证综指,3163.4509
2023-01-13,上证综指,3195.3059
2023-01-16,上证综指,3227.5916
2023-01-17,上证综指,3224.2448
2023-01-18,上证综指,3224.406
2023-01-19,上证综指,3240.2794
2023-01-20,上证综指,3264.8138
2023-01-30,上证综指,3269.318
2023-01-31,上证综指,3255.6692
2023-02-01,上证综指,3284.9213
2023-02-02,上证综指,3285.6705
2023-02-03,上证综指,3263.4059
2023-02-06,上证综指,3238.6978
2023-02-07,上证综指,3248.094
2023-02-08,上证综指,3232.1063
2023-02-09,上证综指,3270.3826
2023-02-10,上证综指,3260.6734
2023-02-13,上证综指,3284.1599
2023-02-14,上证综指,3293.2825
2023-02-15,上证综指,3280.4919
2023-02-16,上证综指,3249.0295
2023-02-17,上证综指,3224.0243
2023-02-20,上证综指,3290.3383
2023-02-21,上证综指,3306.5236
2023-02-22,上证综指,3291.1477
2023-02-23,上证综指,3287.477
2023-02-24,上证综指,3267.1597
2023-02-27,上证综指,3258.0344
2023-02-28,上证综指,3279.6053
2023-03-01,上证综指,3312.3478
2023-03-02,上证综指,3310.6536
2023-03-03,上证综指,3328.3927
2023-03-06,上证综指,3322.0259
2023-03-07,上证综指,3285.0988
2023-03-08,上证综指,3283.2479
2023-03-09,上证综指,3276.0937
2023-03-10,上证综指,3230.0766
2023-03-13,上证综指,3268.6955
2023-03-14,上证综指,3245.3123
2023-03-15,上证综指,3263.3148
2023-03-16,上证综指,3226.8912
2023-03-17,上证综指,3250.546
2023-03-20,上证综指,3234.9103
2023-03-21,上证综指,3255.6505
2023-03-22,上证综指,3265.7475
2023-03-23,上证综指,3286.6491
2023-03-24,上证综指,3265.6537
2023-03-27,上证综指,3251.3971
2023-03-28,上证综指,3245.376
2023-03-29,上证综指,3240.0568
2023-03-30,上证综指,3261.2485
2023-03-31,上证综指,3272.8602
2023-04-03,上证综指,3296.396
2023-04-04,上证综指,3312.5578
2023-04-06,上证综指,3312.628
2023-04-07,上证综指,3327.6457
2023-04-10,上证综指,3315.3578
2023-04-11,上证综指,3313.5705
2023-04-12,上证综指,3327.1816
2023-04-13,上证综指,3318.3638
2023-04-14,上证综指,3338.1525
2023-04-17,上证综指,3385.6095
2023-04-18,上证综指,3393.3312
2023-04-19,上证综指,3370.1283
2023-04-20,上证综指,3367.031
2023-04-21,上证综指,3301.2575
2023-04-24,上证综指,3275.413
2023-04-25,上证综指,3264.8717
2023-04-26,上证综指,3264.1006
2023-04-27,上证综指,3285.8844
2023-04-28,上证综指,3323.2746
2023-05-04,上证综指,3350.4587
2023-05-05,上证综指,3334.5028
2023-05-08,上证综指,3395.0036
2023-05-09,上证综指,3357.6707
2023-05-10,上证综指,3319.1506
2023-05-11,上证综指,3309.5512
2023-05-12,上证综指,3272.3619
2023-05-15,上证综指,3310.7367
2023-05-16,上证综指,3290.9874
2023-05-17,上证综指,3284.232
2023-05-18,上证综指,3297.3199
2023-05-19,上证综指,3283.5417
2023-05-22,上证综指,3296.4696
2023-05-23,上证综指,3246.238
2023-05-24,上证综指,3204.7494
2023-05-25,上证综指,3201.2605
2023-05-26,上证综指,3212.5038
2023-05-29,上证综指,3221.4484
2023-05-30,上证综指,3224.2133
2023-05-31,上证综指,3204.5644
2023-06-01,上证综指,3204.6345
2023-06-02,上证综指,3230.0686
2023-06-05,上证综指,3232.441
2023-06-06,上证综指,3195.3404
2023-06-07,上证综指,3197.7587
2023-06-08,上证综指,3213.5855
2023-06-09,上证综指,3231.4055
2023-06-12,上证综指,3228.8336
2023-06-13,上证综指,3233.6734
2023-06-14,上证综指,3228.9887
2023-06-15,上证综指,3252.9751
2023-06-16,上证综指,3273.3341
2023-06-19,上证综指,3255.8057
2023-06-20,上证综指,3240.3648
2023-06-21,上证综指,3197.9011
2023-06-26,上证综指,3150.6189
2023-06-27,上证综指,3189.4427
2023-06-28,上证综指,3189.3758
2023-06-29,上证综指,3182.3812
2023-06-30,上证综指,3202.0623
2023-07-03,上证综指,3243.975
2023-07-04,上证综指,3245.3492
2023-07-05,上证综指,3222.9469
2023-07-06,上证综指,3205.5748
2023-07-07,上证综指,3196.6092
2023-07-10,上证综指,3203.6958
2023-07-11,上证综指,3221.3666
2023-07-12,上证综指,3196.1337
2023-07-13,上证综指,3236.48
2023-07-14,上证综指,3237.7012
2023-07-17,上证综指,3209.6298
2023-07-18,上证综指,3197.8201
2023-07-19,上证综指,3198.8358
2023-07-20,上证综指,3169.522
2023-07-21,上证综指,3167.7452
2023-07-24,上证综指,3164.1608
2023-07-25,上证综指,3231.5213
2023-07-26,上证综指,3223.0279
2023-07-27,上证综指,3216.6709
2023-07-28,上证综指,3275.9257
2023-07-31,上证综指,3291.0398
2023-08-01,上证综指,3290.9493
2023-08-02,上证综指,3261.6903
2023-08-03,上证综指,3280.4626
2023-08-04,上证综指,3288.0842
2023-08-07,上证综指,3268.8311
2023-08-08,上证综指,3260.6196
2023-08-09,上证综指,3244.4867
2023-08-10,上证综指,3254.5597
2023-08-11,上证综指,3189.248
2023-08-14,上证综指,3178.4272
2023-08-15,上证综指,3176.1758
2023-08-16,上证综指,3150.1277
2023-08-17,上证综指,3163.7393
2023-08-18,上证综指,3131.953
2023-08-21,上证综指,3092.9777
2023-08-22,上证综指,3120.3338
2023-08-23,上证综指,3078.4021
2023-08-24,上证综指,3082.2439
2023-08-25,上证综指,3064.0747
2023-08-28,上证综指,3098.6363
2023-08-29,上证综指,3135.8867
2023-08-30,上证综指,3137.1375
2023-08-31,上证综指,3119.8764
2023-09-01,上证综指,3133.2467
2023-09-04,上证综指,3177.0603
2023-09-05,上证综指,3154.3693
2023-09-06,上证综指,3158.0769
2023-09-07,上证综指,3122.3523
2023-09-08,上证综指,3116.7191
2023-09-11,上证综指,3142.779
2023-09-12,上证综指,3137.0593
2023-09-13,上证综指,3123.0669
